Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/input_Search Amazon.in_field-keywords""), item)",Edge Chromium 134.0.3124.72,,,20-03-2025 11:15:57,20-03-2025 11:15:59,1.848s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/input_Search Amazon.in_nav-search-submit-button""))",Edge Chromium 134.0.3124.72,,,20-03-2025 11:15:59,20-03-2025 11:16:52,53.124s,PASSED
closeBrowser(),Edge Chromium 134.0.3124.72,,,20-03-2025 11:16:52,20-03-2025 11:16:53,1.691s,PASSED
,,,,,,,
Test Cases/TC_Amazon_ValidateSearchFieldItem_003,Edge Chromium 134.0.3124.72,,,20-03-2025 11:16:54,20-03-2025 11:17:20,26.118s,PASSED
"DATA BINDING - {""item"":""study tables"",""category"":""Furniture""}",,,,,,,
"openBrowser("""")",Edge Chromium 134.0.3124.72,,,20-03-2025 11:16:54,20-03-2025 11:16:57,3.644s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Edge Chromium 134.0.3124.72,,,20-03-2025 11:16:57,20-03-2025 11:17:07,10.091s,PASSED
"selectOptionByLabel(findTestObject(""Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/select_All Categories        Alexa Skills  _59be89""), category, true)",Edge Chromium 134.0.3124.72,,,20-03-2025 11:17:07,20-03-2025 11:17:12,5.099s,PASSED
"setText(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/input_Search Amazon.in_field-keywords""), item)",Edge Chromium 134.0.3124.72,,,20-03-2025 11:17:12,20-03-2025 11:17:13,0.973s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/input_Search Amazon.in_nav-search-submit-button""))",Edge Chromium 134.0.3124.72,,,20-03-2025 11:17:13,20-03-2025 11:17:18,4.629s,PASSED
closeBrowser(),Edge Chromium 134.0.3124.72,,,20-03-2025 11:17:18,20-03-2025 11:17:20,1.659s,PASSED
,,,,,,,
Test Cases/TC_Amazon_ValidateSearchFieldItem_003,Edge Chromium 134.0.3124.72,,,20-03-2025 11:17:20,20-03-2025 11:17:53,33.028s,PASSED
"DATA BINDING - {""item"":""outdoor furniture"",""category"":""Garden \u0026 Outdoors""}",,,,,,,
"openBrowser("""")",Edge Chromium 134.0.3124.72,,,20-03-2025 11:17:20,20-03-2025 11:17:23,3.363s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Edge Chromium 134.0.3124.72,,,20-03-2025 11:17:23,20-03-2025 11:17:34,10.950s,PASSED
